ip.src,ip.dst,frame.time_delta,frame.len,ip.ttl,ip.len,Protocol,label
192.168.64.12,192.168.64.3,5.824361974110566e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,4.3554622304572385e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,2.610766431511112e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.7,192.168.64.1,15.656351449651735,98,64,118,ICMP,Normal
192.168.64.6,192.168.64.1,5.4122800721908595,1514,64,1534,TCP,Normal
192.168.64.12,192.168.64.3,5.830517663552366e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,9.866974829732664e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,3.362468061148768,1514,64,1534,TCP,Normal
192.168.64.11,192.168.64.3,3.354725262789055e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,13.68955035044026,1514,64,1534,ICMP,Normal
192.168.64.5,192.168.64.1,11.93152431775357,46,64,66,ICMP,Normal
192.168.64.10,192.168.64.3,7.696063857404738e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,21.353734877702678,60,128,80,UDP,Normal
192.168.64.12,192.168.64.3,5.85383469483747e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,5.340967151340581e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,8.112758489925763e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,4.684948752363587e-06,98,64,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,4.361581041479314,60,64,80,ICMP,Normal
192.168.64.10,192.168.64.3,6.182560073570106e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.7,192.168.64.1,26.888327872605664,46,128,66,ICMP,Normal
192.168.64.5,192.168.64.1,13.475018729237934,46,64,66,TCP,Normal
192.168.64.10,192.168.64.3,6.914550274310992e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.6,192.168.64.1,28.82429725494595,46,64,66,TCP,Normal
192.168.64.10,192.168.64.3,4.770543759332609e-06,98,128,118,ICMP,DDOS-Attack
192.168.64.6,192.168.64.1,8.29367777172621,60,128,80,TCP,Normal
192.168.64.10,192.168.64.3,4.7665281956376505e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,15.770290029878277,60,64,80,TCP,Normal
192.168.64.12,192.168.64.3,5.5159236100925775e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,9.483848075790781e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,1.0345350114482058e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,0.5372588859995204,98,64,118,ICMP,Normal
192.168.64.6,192.168.64.3,22.19511526727973,1514,64,1534,TCP,Normal
192.168.64.7,192.168.64.1,24.792173202071453,98,64,118,UDP,Normal
192.168.64.7,192.168.64.3,21.112621498114066,98,128,118,ICMP,Normal
192.168.64.7,192.168.64.3,14.636317525877066,98,64,118,TCP,Normal
192.168.64.10,192.168.64.3,2.0982341701012056e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,4.1175397127826885e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,3.179263005877336e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.5,192.168.64.3,6.994923102020474,60,128,80,ICMP,Normal
192.168.64.5,192.168.64.3,12.874822881749267,60,128,80,ICMP,Normal
192.168.64.5,192.168.64.1,7.303204103298472,1514,128,1534,UDP,Normal
192.168.64.5,192.168.64.3,21.468002213368823,46,64,66,UDP,Normal
192.168.64.10,192.168.64.3,5.98200444128893e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.6,192.168.64.3,23.94000145566749,60,128,80,TCP,Normal
192.168.64.10,192.168.64.3,5.314916948152931e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.7,192.168.64.1,12.794124320917385,60,64,80,ICMP,Normal
192.168.64.6,192.168.64.1,12.949262003285908,1514,64,1534,TCP,Normal
192.168.64.10,192.168.64.3,1.2055752424080394e-06,60,64,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,2.23004065407815e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.1,26.58014939416595,98,128,118,UDP,Normal
192.168.64.5,192.168.64.1,26.722724835508295,60,128,80,TCP,Normal
192.168.64.12,192.168.64.3,6.761033730212258e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.6,192.168.64.1,1.0980830297049806,60,128,80,UDP,Normal
192.168.64.7,192.168.64.1,26.457365993677527,98,128,118,UDP,Normal
192.168.64.10,192.168.64.3,1.965011592415243e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,3.783990130892817e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,26.072796054831734,1514,128,1534,ICMP,Normal
192.168.64.12,192.168.64.3,2.5847733425291004e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.6,192.168.64.1,4.695614564275275,46,128,66,TCP,Normal
192.168.64.12,192.168.64.3,4.1726082569846346e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,2.8976208649728e-06,60,128,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,3.0837787780869566e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.7,192.168.64.1,17.425011499325834,98,128,118,ICMP,Normal
192.168.64.10,192.168.64.3,9.617212848828582e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,0.39483893126603486,46,64,66,TCP,Normal
192.168.64.5,192.168.64.1,7.927266332493421,1514,64,1534,UDP,Normal
192.168.64.10,192.168.64.3,5.2999023663281086e-06,60,128,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,4.598780959679457e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,5.541877675200125e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,9.86249948288739e-06,98,64,118,ICMP,DDOS-Attack
192.168.64.6,192.168.64.3,24.382005146625072,60,128,80,UDP,Normal
192.168.64.10,192.168.64.3,5.6183091467104535e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,13.7647595412472,46,128,66,ICMP,Normal
192.168.64.11,192.168.64.3,5.909757313788526e-06,98,64,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,8.58025758492036e-06,60,64,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,20.38086348245775,46,64,66,UDP,Normal
192.168.64.5,192.168.64.1,22.88193947729579,98,128,118,TCP,Normal
192.168.64.10,192.168.64.1,12.546960482175542,46,128,66,UDP,Normal
192.168.64.10,192.168.64.3,5.1651936071612635e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,6.887922684050008,46,128,66,ICMP,Normal
192.168.64.12,192.168.64.3,2.6830939385366643e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,17.596439076450093,60,128,80,TCP,Normal
192.168.64.11,192.168.64.3,9.405324740501243e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,1.2146910495577983,46,64,66,ICMP,Normal
192.168.64.10,192.168.64.3,17.718066395918008,98,128,118,ICMP,Normal
192.168.64.11,192.168.64.3,5.538492184537301e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.6,192.168.64.3,11.023843312331971,98,64,118,UDP,Normal
192.168.64.5,192.168.64.1,21.409029281814888,98,128,118,UDP,Normal
192.168.64.6,192.168.64.1,3.7281902925168287,60,64,80,ICMP,Normal
192.168.64.11,192.168.64.3,4.570499307395194e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,3.328467739874477e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,5.5960813249225327e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.3,7.360373464835885,98,64,118,ICMP,Normal
192.168.64.10,192.168.64.3,23.67454319771065,46,64,66,ICMP,Normal
192.168.64.12,192.168.64.3,6.298371209671763e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,0.9436925080601408,46,64,66,UDP,Normal
192.168.64.6,192.168.64.1,23.477420830758295,46,128,66,TCP,Normal
192.168.64.10,192.168.64.1,19.626371649052505,46,64,66,TCP,Normal
192.168.64.6,192.168.64.3,15.581866297369025,1514,128,1534,TCP,Normal
192.168.64.12,192.168.64.3,9.589128573110628e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,2.6354606857657648,98,64,118,ICMP,Normal
192.168.64.10,192.168.64.3,6.479629132591424e-06,60,128,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,4.494205965370881e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,3.903191503739279e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,25.518104451904822,98,128,118,TCP,Normal
192.168.64.10,192.168.64.3,6.0644513239642054e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,3.948807287329809e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,1.4705113839610038e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,8.148777746722072,98,128,118,ICMP,Normal
192.168.64.5,192.168.64.1,11.08255361969953,60,64,80,ICMP,Normal
192.168.64.6,192.168.64.3,17.035037964353062,60,64,80,TCP,Normal
192.168.64.12,192.168.64.3,4.4239023966860426e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,2.0388704728545e-06,98,128,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,29.08118054761283,1514,64,1534,UDP,Normal
192.168.64.10,192.168.64.3,19.529008843674408,60,128,80,UDP,Normal
192.168.64.7,192.168.64.3,23.318305088846614,98,128,118,ICMP,Normal
192.168.64.11,192.168.64.3,3.248690768254095e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,5.587940995969414e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,6.36754275231276e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,20.6575135905135,1514,64,1534,ICMP,Normal
192.168.64.11,192.168.64.3,7.32693292398514e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.6,192.168.64.1,22.12308367169539,98,128,118,ICMP,Normal
192.168.64.10,192.168.64.3,27.48702714066229,60,128,80,UDP,Normal
192.168.64.12,192.168.64.3,4.9796732272875673e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.1,13.561396535601656,1514,64,1534,UDP,Normal
192.168.64.10,192.168.64.3,5.509265625396188e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.6,192.168.64.3,6.010754162257732,98,128,118,ICMP,Normal
192.168.64.6,192.168.64.1,23.761749934249256,46,128,66,TCP,Normal
192.168.64.11,192.168.64.3,2.4264433475934472e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,8.917607267583122,60,64,80,ICMP,Normal
192.168.64.12,192.168.64.3,5.050335764139119e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,9.853228095397681e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,9.543055562878415,1514,128,1534,TCP,Normal
192.168.64.11,192.168.64.3,3.956208656859546e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,2.3900104043967057e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,3.606126547919e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,3.944893062640836,46,64,66,UDP,Normal
192.168.64.12,192.168.64.3,8.440324162572294e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,4.3390210046850115e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,1.720389070924306e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,3.7783104620667565e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,7.817573401073092e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.6,192.168.64.3,24.469310417100562,60,128,80,ICMP,Normal
192.168.64.5,192.168.64.3,21.188740909609795,60,64,80,TCP,Normal
192.168.64.10,192.168.64.3,5.187122272308319e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,7.040011544240903e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.6,192.168.64.1,25.32034369226091,98,64,118,UDP,Normal
192.168.64.10,192.168.64.3,6.918749154032517e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,14.034420173051103,60,64,80,ICMP,Normal
192.168.64.10,192.168.64.3,3.3878868547504334e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,21.264990088181797,98,128,118,UDP,Normal
192.168.64.12,192.168.64.3,9.25277244044581e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,8.825962290000176e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.1,28.00158899534142,1514,64,1534,ICMP,Normal
192.168.64.10,192.168.64.3,0.6806489163021048,46,64,66,TCP,Normal
192.168.64.6,192.168.64.3,1.6371771488974294,46,64,66,UDP,Normal
192.168.64.7,192.168.64.1,24.035238409291072,60,128,80,TCP,Normal
192.168.64.5,192.168.64.3,28.547276039282394,60,64,80,UDP,Normal
192.168.64.10,192.168.64.3,7.118653678271548,60,64,80,ICMP,Normal
192.168.64.6,192.168.64.1,28.466390599941654,98,128,118,TCP,Normal
192.168.64.10,192.168.64.3,15.371533152077566,1514,64,1534,ICMP,Normal
192.168.64.11,192.168.64.3,6.0852836915565976e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,23.29118475200565,1514,64,1534,ICMP,Normal
192.168.64.6,192.168.64.3,22.195400218562227,46,64,66,ICMP,Normal
192.168.64.5,192.168.64.1,18.685713551246465,46,128,66,TCP,Normal
192.168.64.11,192.168.64.3,6.836746678991303e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,17.218643221351144,46,64,66,ICMP,Normal
192.168.64.10,192.168.64.3,9.59521169076331e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.3,21.2933083093153,1514,64,1534,TCP,Normal
192.168.64.7,192.168.64.1,13.122420002262661,60,64,80,TCP,Normal
192.168.64.11,192.168.64.3,7.385575109969618e-06,98,64,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,25.080512369145488,46,64,66,ICMP,Normal
192.168.64.10,192.168.64.3,1.0760828793951712e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,4.677672651434153e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,10.98861910019311,60,64,80,TCP,Normal
192.168.64.6,192.168.64.1,26.87436037699331,1514,64,1534,UDP,Normal
192.168.64.12,192.168.64.3,1.0106466556409195e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,24.42503078194976,1514,128,1534,UDP,Normal
192.168.64.12,192.168.64.3,9.61999648975704e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,5.25673356663036e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.3,2.11253576237905,98,64,118,TCP,Normal
192.168.64.7,192.168.64.1,16.733593371378902,1514,128,1534,TCP,Normal
192.168.64.5,192.168.64.3,25.32081560990423,60,64,80,TCP,Normal
192.168.64.11,192.168.64.3,4.4748876652913666e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,5.754506756361374e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,6.513440817761914e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,4.567539479323833e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,1.9410189248184353e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.7,192.168.64.1,9.740320143219266,1514,128,1534,TCP,Normal
192.168.64.10,192.168.64.3,9.19559831756209e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,8.07706279110398e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,6.754786569294612e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.6,192.168.64.1,10.040889685009086,1514,128,1534,ICMP,Normal
192.168.64.10,192.168.64.3,9.17437268625987e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,26.7674145180028,98,64,118,TCP,Normal
192.168.64.5,192.168.64.1,12.124554018482067,98,64,118,UDP,Normal
192.168.64.12,192.168.64.3,4.752786503112165e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.3,28.346805789401785,60,128,80,UDP,Normal
192.168.64.11,192.168.64.3,5.045707987421735e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,17.21200535652486,46,64,66,ICMP,Normal
192.168.64.12,192.168.64.3,7.812153399847973e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,8.899665474094854e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,9.519282124984587e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,21.747203824215134,46,128,66,TCP,Normal
192.168.64.7,192.168.64.3,17.64799059102259,60,64,80,UDP,Normal
192.168.64.11,192.168.64.3,7.561829747965084e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,7.037182660714212e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,24.33050533912396,98,128,118,ICMP,Normal
192.168.64.10,192.168.64.3,28.45277323206372,1514,128,1534,TCP,Normal
192.168.64.11,192.168.64.3,8.173328879243346e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,8.04180978747498e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,8.551180034517009e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,7.77578610587057e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,24.42122560127736,46,64,66,ICMP,Normal
192.168.64.7,192.168.64.3,2.387044220298546,60,128,80,UDP,Normal
192.168.64.10,192.168.64.1,10.427018522664467,46,64,66,TCP,Normal
192.168.64.11,192.168.64.3,9.944711148832847e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.7,192.168.64.1,11.599055406520522,46,128,66,TCP,Normal
192.168.64.6,192.168.64.1,15.522482839797828,46,64,66,UDP,Normal
192.168.64.12,192.168.64.3,5.872965452183406e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,16.73768515081514,98,128,118,ICMP,Normal
192.168.64.6,192.168.64.1,9.824236485891063,1514,128,1534,ICMP,Normal
192.168.64.6,192.168.64.3,19.998826223004013,98,64,118,TCP,Normal
192.168.64.11,192.168.64.3,8.942002399115695e-06,60,64,80,ICMP,DDOS-Attack
192.168.64.6,192.168.64.3,17.285809745600897,60,64,80,ICMP,Normal
192.168.64.7,192.168.64.1,19.131083930991473,60,128,80,ICMP,Normal
192.168.64.5,192.168.64.1,15.019243570425996,98,128,118,UDP,Normal
192.168.64.10,192.168.64.3,28.963918555621586,60,64,80,TCP,Normal
192.168.64.12,192.168.64.3,2.9702551500669833e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,4.69360423914462e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.11,192.168.64.3,2.087057144846543e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.12,192.168.64.3,8.172010776170059e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.3,2.6423436690249473,98,128,118,TCP,Normal
192.168.64.7,192.168.64.3,13.629969360132517,60,64,80,ICMP,Normal
192.168.64.6,192.168.64.3,29.59505149743079,98,128,118,UDP,Normal
192.168.64.11,192.168.64.3,2.3358123590115808e-05,98,64,118,ICMP,DDOS-Attack
192.168.64.7,192.168.64.1,22.504892659105423,1514,128,1534,ICMP,Normal
192.168.64.6,192.168.64.3,28.50392099382725,98,64,118,ICMP,Normal
192.168.64.5,192.168.64.1,26.319353888138767,1514,128,1534,TCP,Normal
192.168.64.6,192.168.64.1,16.86448394849498,46,64,66,ICMP,Normal
192.168.64.12,192.168.64.3,9.529916217877528e-05,98,128,118,ICMP,DDOS-Attack
192.168.64.6,192.168.64.3,26.82637445704808,46,64,66,ICMP,Normal
192.168.64.10,192.168.64.1,29.665225404456272,1514,64,1534,ICMP,Normal
192.168.64.10,192.168.64.3,2.4975290384399585e-05,60,64,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,0.8990626769307267,60,64,80,UDP,Normal
192.168.64.10,192.168.64.3,8.591865043281691e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.3,5.7378963933053134e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.6,192.168.64.1,9.50488038671379,1514,128,1534,TCP,Normal
192.168.64.5,192.168.64.1,10.576730793983081,60,128,80,UDP,Normal
192.168.64.5,192.168.64.3,26.785524554098938,60,64,80,UDP,Normal
192.168.64.12,192.168.64.3,3.199629720532461e-06,60,128,80,ICMP,DDOS-Attack
192.168.64.6,192.168.64.3,3.109267389927678,46,128,66,UDP,Normal
192.168.64.6,192.168.64.1,29.92400403230399,1514,64,1534,TCP,Normal
192.168.64.10,192.168.64.1,22.470992420411324,1514,64,1534,TCP,Normal
192.168.64.7,192.168.64.3,23.10034713734614,98,64,118,ICMP,Normal
192.168.64.6,192.168.64.3,27.613758733035333,98,64,118,UDP,Normal
192.168.64.10,192.168.64.3,9.487690224121786e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.5,192.168.64.1,29.55010764447396,98,64,118,TCP,Normal
192.168.64.10,192.168.64.3,4.0874837300484984e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.10,192.168.64.1,3.1842645569203443,46,64,66,ICMP,Normal
192.168.64.10,192.168.64.3,12.980861780626869,1514,128,1534,TCP,Normal
192.168.64.7,192.168.64.1,25.188150404988722,1514,128,1534,UDP,Normal
192.168.64.10,192.168.64.3,3.708136143087295,98,64,118,ICMP,Normal
192.168.64.11,192.168.64.3,4.643800208846953e-05,60,128,80,ICMP,DDOS-Attack
192.168.64.6,192.168.64.3,7.099369821365549,98,128,118,TCP,Normal
