protocol,pkt_len,pkt_rate,pkt_count,ip_ttl,label
ICMP,60,20941.6,30,128,DDOS-Attack
TCP,974,144.9,1,255,Normal
TCP,576,128.4,4,255,Normal
ICMP,60,28113.0,26,128,DDOS-Attack
UDP,493,296.3,8,128,Normal
ICMP,1232,330.0,1,255,Normal
TCP,168,10.7,6,64,Normal
TCP,504,479.8,1,128,Normal
ICMP,60,16200.1,47,64,DDOS-Attack
TCP,1260,378.4,1,64,Normal
TCP,712,481.4,4,64,Normal
TCP,1102,307.6,7,64,Normal
UDP,1024,5032.1,39,64,DDOS-Attack
TCP,1402,157.0,8,255,Normal
TCP,1097,465.8,8,255,Normal
UDP,78,138.5,4,255,Normal
TCP,218,21.4,6,255,Normal
ICMP,60,6641.7,33,128,DDOS-Attack
ICMP,941,361.0,5,64,Normal
TCP,799,17.8,7,255,Normal
ICMP,410,59.3,3,255,Normal
TCP,618,447.2,6,128,Normal
ICMP,60,20535.9,13,128,DDOS-Attack
TCP,1285,215.7,1,64,Normal
UDP,60,16492.9,40,64,DDOS-Attack
UDP,875,491.6,6,128,Normal
ICMP,647,348.9,1,255,Normal
UDP,215,274.7,1,64,Normal
UDP,516,355.5,3,255,Normal
UDP,1051,423.2,8,255,Normal
TCP,1046,343.4,3,64,Normal
TCP,1495,238.4,6,128,Normal
UDP,1320,369.0,6,255,Normal
UDP,463,13.2,3,255,Normal
TCP,679,61.1,3,64,Normal
UDP,761,269.4,7,64,Normal
TCP,210,428.5,1,128,Normal
ICMP,60,4553.4,20,128,DDOS-Attack
ICMP,60,3896.7,20,64,DDOS-Attack
TCP,1111,309.5,6,255,Normal
TCP,1396,145.5,7,128,Normal
TCP,1287,268.4,8,255,Normal
TCP,540,469.6,4,128,Normal
ICMP,1368,208.7,8,128,Normal
TCP,614,76.3,6,64,Normal
ICMP,60,18155.5,17,128,DDOS-Attack
UDP,1314,269.2,2,128,Normal
TCP,1226,65.6,6,128,Normal
TCP,1076,315.6,3,255,Normal
TCP,1419,449.1,7,128,Normal
TCP,1347,141.6,8,255,Normal
UDP,326,90.6,8,64,Normal
TCP,120,391.5,1,64,Normal
TCP,548,486.3,5,128,Normal
TCP,194,310.9,2,64,Normal
ICMP,60,21728.1,36,128,DDOS-Attack
TCP,1250,201.6,1,128,Normal
UDP,1082,293.7,2,128,Normal
TCP,583,149.3,2,128,Normal
TCP,406,184.0,5,64,Normal
TCP,526,499.8,5,128,Normal
TCP,305,416.3,5,64,Normal
TCP,197,457.2,7,64,Normal
UDP,857,437.7,3,128,Normal
ICMP,60,1041.7,15,64,DDOS-Attack
TCP,537,136.3,4,255,Normal
UDP,932,77.9,2,64,Normal
UDP,983,109.9,4,128,Normal
TCP,1089,214.7,7,255,Normal
ICMP,60,12139.8,28,128,DDOS-Attack
TCP,1071,49.7,5,64,Normal
TCP,906,43.6,7,64,Normal
UDP,791,130.8,1,255,Normal
UDP,60,16510.2,23,128,DDOS-Attack
TCP,724,394.1,6,255,Normal
UDP,820,381.2,2,64,Normal
ICMP,60,25751.3,19,128,DDOS-Attack
UDP,60,12313.6,16,64,DDOS-Attack
UDP,337,373.2,3,64,Normal
ICMP,750,381.4,2,255,Normal
ICMP,60,11118.6,46,64,DDOS-Attack
ICMP,60,26770.3,50,128,DDOS-Attack
TCP,1237,24.8,8,128,Normal
UDP,1056,304.7,8,255,Normal
TCP,64,37685.6,42,128,DDOS-Attack
TCP,969,121.7,2,64,Normal
UDP,1274,337.8,6,255,Normal
TCP,239,371.4,6,255,Normal
TCP,707,353.5,6,64,Normal
TCP,1234,220.8,2,128,Normal
TCP,64,6259.4,32,64,DDOS-Attack
UDP,660,200.1,2,128,Normal
TCP,1132,33.0,2,64,Normal
TCP,1498,84.8,5,128,Normal
TCP,1434,236.7,8,64,Normal
TCP,703,163.0,7,64,Normal
TCP,937,390.4,8,64,Normal
TCP,501,408.9,4,255,Normal
UDP,626,426.9,4,128,Normal
UDP,1113,398.7,5,64,Normal
TCP,1306,447.0,5,128,Normal
TCP,1252,273.6,2,64,Normal
TCP,449,414.3,1,128,Normal
ICMP,60,1732.8,41,64,DDOS-Attack
UDP,818,35.9,6,128,Normal
ICMP,60,6166.5,34,128,DDOS-Attack
ICMP,60,23757.6,19,64,DDOS-Attack
TCP,903,83.3,1,64,Normal
UDP,288,335.1,1,64,Normal
TCP,725,37.8,4,128,Normal
TCP,471,153.4,6,255,Normal
TCP,414,244.2,5,255,Normal
UDP,557,319.1,7,255,Normal
ICMP,60,7643.6,39,64,DDOS-Attack
TCP,1011,168.5,4,255,Normal
ICMP,60,11842.1,23,128,DDOS-Attack
TCP,1212,335.7,7,255,Normal
TCP,82,3.9,6,128,Normal
TCP,1257,194.9,3,64,Normal
UDP,860,20.1,1,64,Normal
TCP,1424,195.8,3,255,Normal
UDP,643,347.0,6,64,Normal
ICMP,60,16360.5,50,128,DDOS-Attack
UDP,1142,454.6,4,128,Normal
TCP,1304,328.0,4,128,Normal
TCP,839,123.5,8,64,Normal
UDP,918,415.1,1,255,Normal
UDP,1078,421.4,6,64,Normal
ICMP,60,18224.0,13,64,DDOS-Attack
ICMP,60,11189.0,33,64,DDOS-Attack
UDP,314,187.4,6,255,Normal
TCP,407,82.1,7,64,Normal
UDP,431,36.9,4,255,Normal
TCP,1268,133.9,2,64,Normal
TCP,861,275.8,1,255,Normal
TCP,848,243.8,1,255,Normal
UDP,637,11.1,3,255,Normal
TCP,549,345.9,6,64,Normal
TCP,1309,240.7,8,128,Normal
ICMP,60,22843.0,48,128,DDOS-Attack
TCP,141,101.4,7,255,Normal
UDP,609,223.9,6,255,Normal
UDP,317,227.1,6,64,Normal
TCP,221,145.3,5,128,Normal
TCP,1420,85.8,1,255,Normal
UDP,369,456.7,6,255,Normal
ICMP,60,24477.1,36,64,DDOS-Attack
UDP,1486,460.3,1,64,Normal
TCP,1341,87.9,3,255,Normal
UDP,524,20.6,7,255,Normal
TCP,1084,438.0,3,64,Normal
ICMP,60,20342.3,45,128,DDOS-Attack
TCP,1255,333.5,4,64,Normal
UDP,304,286.2,6,128,Normal
UDP,190,88.7,1,128,Normal
ICMP,60,18934.4,31,128,DDOS-Attack
ICMP,60,17790.6,22,64,DDOS-Attack
TCP,1270,290.7,1,255,Normal
ICMP,60,24523.2,24,128,DDOS-Attack
TCP,610,490.4,5,128,Normal
TCP,1087,360.6,8,255,Normal
UDP,617,207.7,7,64,Normal
ICMP,60,10943.5,38,64,DDOS-Attack
UDP,1149,253.7,8,128,Normal
TCP,1140,129.6,8,255,Normal
TCP,348,171.8,7,255,Normal
ICMP,60,1549.0,16,128,DDOS-Attack
ICMP,60,3502.0,25,64,DDOS-Attack
ICMP,60,11241.2,43,128,DDOS-Attack
TCP,897,215.6,8,128,Normal
TCP,177,449.3,2,64,Normal
TCP,1402,477.2,6,255,Normal
UDP,555,196.2,3,255,Normal
UDP,413,264.6,1,128,Normal
UDP,1143,262.4,8,255,Normal
UDP,1024,9987.8,24,64,DDOS-Attack
ICMP,60,24170.2,36,128,DDOS-Attack
ICMP,60,8032.6,29,128,DDOS-Attack
UDP,1024,3539.6,27,128,DDOS-Attack
UDP,272,395.7,7,255,Normal
ICMP,60,28272.4,42,128,DDOS-Attack
TCP,787,390.2,4,255,Normal
ICMP,60,15228.9,33,64,DDOS-Attack
TCP,1299,446.9,2,255,Normal
TCP,1150,287.5,5,255,Normal
TCP,1080,202.1,2,128,Normal
ICMP,60,1235.5,32,64,DDOS-Attack
TCP,844,212.0,3,255,Normal
TCP,1187,206.4,5,128,Normal
TCP,64,31632.4,49,64,DDOS-Attack
UDP,188,113.7,1,255,Normal
TCP,1389,249.7,1,128,Normal
TCP,367,177.1,4,64,Normal
UDP,512,24859.5,18,64,DDOS-Attack
UDP,1319,189.1,5,128,Normal
ICMP,60,24816.5,38,64,DDOS-Attack
TCP,700,298.8,1,64,Normal
UDP,280,160.4,2,128,Normal
TCP,852,260.4,4,128,Normal
TCP,335,445.5,6,255,Normal
UDP,1024,96.9,7,128,Normal
UDP,1250,210.7,2,255,Normal
ICMP,60,19355.7,44,64,DDOS-Attack
ICMP,1457,290.4,7,255,Normal
TCP,241,255.8,1,64,Normal
TCP,829,57.7,4,64,Normal
UDP,1024,19219.0,24,128,DDOS-Attack
ICMP,60,26532.8,18,128,DDOS-Attack
TCP,275,68.2,1,128,Normal
UDP,967,468.5,7,64,Normal
UDP,1024,16007.9,34,128,DDOS-Attack
UDP,212,408.7,1,128,Normal
ICMP,60,15648.7,33,64,DDOS-Attack
TCP,254,493.7,3,128,Normal
UDP,914,130.6,3,128,Normal
ICMP,706,322.8,3,255,Normal
UDP,478,185.5,8,128,Normal
ICMP,60,17352.0,50,128,DDOS-Attack
UDP,414,401.3,7,64,Normal
ICMP,60,24389.7,28,64,DDOS-Attack
ICMP,60,3334.0,33,64,DDOS-Attack
ICMP,60,2461.3,46,64,DDOS-Attack
UDP,172,149.3,5,128,Normal
TCP,64,30972.8,16,128,DDOS-Attack
TCP,537,173.6,3,64,Normal
UDP,502,427.7,7,255,Normal
UDP,60,5721.9,33,128,DDOS-Attack
TCP,700,94.4,7,64,Normal
ICMP,357,257.2,4,64,Normal
TCP,1169,216.9,6,64,Normal
TCP,1143,167.0,5,64,Normal
ICMP,60,29156.1,37,128,DDOS-Attack
TCP,721,240.2,7,64,Normal
TCP,417,322.1,1,64,Normal
UDP,1139,397.1,6,128,Normal
TCP,205,163.9,4,128,Normal
ICMP,807,384.3,3,64,Normal
UDP,135,451.3,2,64,Normal
UDP,1390,275.8,7,64,Normal
UDP,549,285.8,3,64,Normal
TCP,1033,390.9,2,128,Normal
TCP,1051,408.0,6,255,Normal
UDP,1024,15891.5,12,128,DDOS-Attack
UDP,60,3825.4,17,64,DDOS-Attack
ICMP,60,7241.2,34,128,DDOS-Attack
ICMP,60,25722.1,42,128,DDOS-Attack
TCP,230,33.7,4,64,Normal
UDP,1142,315.5,3,128,Normal
ICMP,60,26166.0,21,128,DDOS-Attack
TCP,163,291.0,4,128,Normal
UDP,238,169.9,2,255,Normal
ICMP,60,23470.1,49,64,DDOS-Attack
TCP,335,285.1,6,128,Normal
ICMP,60,22086.8,16,64,DDOS-Attack
TCP,64,7266.5,23,128,DDOS-Attack
TCP,342,258.9,8,64,Normal
TCP,379,101.3,4,128,Normal
TCP,709,30.2,4,128,Normal
UDP,312,169.9,2,64,Normal
TCP,1040,487.2,8,64,Normal
UDP,512,8655.9,21,128,DDOS-Attack
TCP,1426,312.5,7,255,Normal
TCP,745,380.7,7,64,Normal
UDP,288,48.9,2,255,Normal
ICMP,60,24399.0,37,64,DDOS-Attack
ICMP,60,20529.0,43,128,DDOS-Attack
TCP,190,171.6,2,128,Normal
TCP,1048,202.4,7,128,Normal
TCP,534,380.6,8,128,Normal
TCP,746,70.8,7,128,Normal
UDP,512,18215.4,26,64,DDOS-Attack
TCP,64,25903.2,48,128,DDOS-Attack
TCP,1324,27.6,2,64,Normal
TCP,1465,256.8,5,128,Normal
ICMP,60,16472.8,15,128,DDOS-Attack
TCP,647,234.1,2,64,Normal
TCP,770,289.4,3,255,Normal
UDP,568,470.1,1,128,Normal
UDP,540,442.3,8,128,Normal
UDP,512,9219.4,39,128,DDOS-Attack
UDP,776,200.6,4,128,Normal
TCP,915,53.5,5,255,Normal
TCP,1222,175.4,6,64,Normal
ICMP,1212,436.7,6,255,Normal
TCP,650,227.9,5,128,Normal
TCP,331,215.5,6,64,Normal
TCP,64,6326.5,25,128,DDOS-Attack
ICMP,1034,89.7,1,255,Normal
UDP,1409,492.9,5,255,Normal
UDP,512,5422.6,16,128,DDOS-Attack
ICMP,60,22020.8,13,64,DDOS-Attack
TCP,1228,31.2,1,255,Normal
TCP,991,101.7,3,255,Normal
TCP,595,385.2,5,255,Normal
ICMP,60,4495.3,41,128,DDOS-Attack
TCP,64,5886.6,44,128,DDOS-Attack
TCP,1476,30.2,2,128,Normal
ICMP,60,24423.7,30,128,DDOS-Attack
TCP,1438,385.2,6,64,Normal
TCP,137,20.1,7,255,Normal
TCP,1365,201.5,7,128,Normal
TCP,469,227.4,8,255,Normal
ICMP,60,2571.8,25,64,DDOS-Attack
UDP,512,21073.6,49,128,DDOS-Attack
TCP,1495,214.3,4,64,Normal
UDP,60,9542.3,28,64,DDOS-Attack
TCP,828,367.6,2,128,Normal
UDP,756,160.5,2,64,Normal
UDP,1188,338.8,6,255,Normal
ICMP,184,217.3,7,255,Normal
TCP,317,242.7,7,128,Normal
ICMP,60,22824.0,22,64,DDOS-Attack
TCP,972,41.5,4,255,Normal
TCP,1423,144.7,3,255,Normal
TCP,446,287.2,8,64,Normal
TCP,1239,254.9,5,128,Normal
UDP,1197,191.8,2,255,Normal
ICMP,60,13905.7,23,64,DDOS-Attack
TCP,188,200.7,5,255,Normal
TCP,1062,467.9,7,255,Normal
ICMP,60,11754.1,17,64,DDOS-Attack
TCP,618,187.8,5,255,Normal
TCP,309,432.1,6,64,Normal
UDP,483,178.9,8,255,Normal
TCP,185,43.4,3,255,Normal
ICMP,60,16507.1,22,128,DDOS-Attack
TCP,753,202.0,8,64,Normal
ICMP,60,27737.9,21,128,DDOS-Attack
ICMP,60,19199.9,26,128,DDOS-Attack
ICMP,60,17288.2,29,128,DDOS-Attack
TCP,491,245.3,4,64,Normal
ICMP,60,9332.8,43,64,DDOS-Attack
ICMP,60,17410.3,13,64,DDOS-Attack
UDP,60,9566.3,42,128,DDOS-Attack
UDP,957,161.6,8,255,Normal
TCP,876,328.3,4,255,Normal
TCP,1175,64.8,2,128,Normal
UDP,1359,92.3,3,128,Normal
UDP,1252,421.9,5,255,Normal
TCP,813,488.5,1,128,Normal
ICMP,60,16097.0,47,64,DDOS-Attack
TCP,755,27.2,3,255,Normal
UDP,512,10054.6,37,64,DDOS-Attack
UDP,1106,158.7,6,128,Normal
TCP,613,27.4,1,128,Normal
ICMP,60,7181.4,20,128,DDOS-Attack
TCP,561,288.6,1,128,Normal
UDP,199,188.8,7,64,Normal
UDP,770,327.2,3,255,Normal
ICMP,60,17411.0,31,64,DDOS-Attack
ICMP,914,494.1,8,64,Normal
TCP,1473,415.6,1,128,Normal
ICMP,60,7205.7,23,128,DDOS-Attack
UDP,1024,18427.0,35,128,DDOS-Attack
ICMP,60,22176.9,26,64,DDOS-Attack
UDP,1367,235.0,2,64,Normal
ICMP,319,280.0,1,255,Normal
TCP,501,415.5,8,255,Normal
TCP,1072,30.7,6,64,Normal
ICMP,60,17355.6,48,128,DDOS-Attack
ICMP,60,21064.3,38,128,DDOS-Attack
UDP,1420,174.0,5,128,Normal
UDP,512,15560.7,37,128,DDOS-Attack
TCP,1224,72.7,3,128,Normal
ICMP,60,29218.2,16,128,DDOS-Attack
ICMP,60,26904.5,31,64,DDOS-Attack
ICMP,60,25337.2,25,64,DDOS-Attack
ICMP,60,20080.3,49,64,DDOS-Attack
TCP,760,207.7,2,64,Normal
TCP,975,36.3,1,128,Normal
ICMP,60,1306.9,41,64,DDOS-Attack
UDP,1059,434.7,2,128,Normal
ICMP,60,993.1,43,64,DDOS-Attack
UDP,1344,241.5,7,255,Normal
TCP,1385,7.7,2,128,Normal
UDP,872,84.3,4,64,Normal
TCP,696,114.1,3,255,Normal
UDP,1024,6664.0,16,128,DDOS-Attack
UDP,744,49.1,5,255,Normal
ICMP,515,12.3,2,128,Normal
TCP,1456,152.3,6,255,Normal
TCP,210,315.4,6,128,Normal
UDP,1251,370.4,6,128,Normal
ICMP,60,11985.4,42,64,DDOS-Attack
TCP,186,283.0,6,64,Normal
TCP,317,8.1,1,255,Normal
ICMP,60,16658.8,43,128,DDOS-Attack
TCP,853,118.1,1,255,Normal
UDP,1264,365.0,2,128,Normal
UDP,1496,203.7,7,128,Normal
TCP,951,151.8,7,64,Normal
UDP,1024,3297.9,29,128,DDOS-Attack
TCP,1366,391.4,6,128,Normal
TCP,1190,190.8,1,64,Normal
TCP,1013,386.6,1,255,Normal
ICMP,60,29975.8,40,128,DDOS-Attack
UDP,1129,360.5,7,128,Normal
TCP,249,288.0,2,64,Normal
ICMP,60,18785.6,23,128,DDOS-Attack
ICMP,60,24776.8,49,128,DDOS-Attack
ICMP,60,7975.8,30,64,DDOS-Attack
TCP,1433,434.4,1,128,Normal
TCP,1308,419.3,3,64,Normal
TCP,254,89.4,7,255,Normal
TCP,737,47.4,8,128,Normal
TCP,196,485.6,4,64,Normal
TCP,888,376.7,3,255,Normal
TCP,588,250.8,5,128,Normal
UDP,322,111.9,8,255,Normal
ICMP,60,9148.2,29,128,DDOS-Attack
UDP,1283,389.5,5,64,Normal
ICMP,60,15811.5,45,64,DDOS-Attack
TCP,1165,48.0,2,255,Normal
TCP,863,64.5,6,64,Normal
UDP,354,75.2,7,128,Normal
ICMP,60,16159.6,41,128,DDOS-Attack
TCP,64,12503.8,36,64,DDOS-Attack
TCP,236,118.6,4,255,Normal
TCP,675,188.6,3,255,Normal
UDP,1081,35.4,5,128,Normal
UDP,1024,10745.8,32,128,DDOS-Attack
TCP,1160,283.8,2,128,Normal
TCP,1493,110.9,3,64,Normal
ICMP,60,15449.1,28,128,DDOS-Attack
ICMP,60,11063.9,49,128,DDOS-Attack
UDP,739,307.5,2,255,Normal
UDP,439,363.0,1,64,Normal
UDP,1044,42.1,2,255,Normal
UDP,718,215.8,1,64,Normal
TCP,568,394.1,2,255,Normal
ICMP,60,28453.6,21,128,DDOS-Attack
TCP,847,418.9,5,128,Normal
UDP,1496,409.2,6,64,Normal
UDP,368,127.7,5,128,Normal
TCP,1020,227.3,5,255,Normal
TCP,1492,462.8,7,128,Normal
UDP,512,15225.8,46,64,DDOS-Attack
TCP,757,4.0,5,255,Normal
UDP,876,360.6,4,255,Normal
ICMP,60,9301.2,37,128,DDOS-Attack
UDP,1072,393.8,4,64,Normal
UDP,1373,29.7,3,64,Normal
TCP,586,276.7,5,128,Normal
TCP,1432,245.0,3,64,Normal
TCP,1090,359.3,2,255,Normal
TCP,184,266.1,3,64,Normal
ICMP,516,234.0,4,128,Normal
UDP,678,459.8,8,64,Normal
UDP,164,414.0,8,128,Normal
UDP,480,175.1,6,128,Normal
UDP,1334,203.7,3,128,Normal
UDP,1024,11553.6,24,64,DDOS-Attack
ICMP,60,11304.2,32,64,DDOS-Attack
ICMP,60,5070.7,21,64,DDOS-Attack
TCP,678,118.2,1,128,Normal
ICMP,60,8964.6,14,128,DDOS-Attack
UDP,1379,90.9,8,128,Normal
ICMP,60,8715.0,16,64,DDOS-Attack
TCP,64,33930.3,20,64,DDOS-Attack
ICMP,60,25258.2,24,64,DDOS-Attack
TCP,64,35215.8,25,64,DDOS-Attack
UDP,1445,185.9,2,64,Normal
ICMP,60,22360.3,25,64,DDOS-Attack
TCP,790,329.6,5,255,Normal
TCP,1154,148.3,1,128,Normal
UDP,539,326.1,5,128,Normal
TCP,106,95.4,2,64,Normal
TCP,407,300.2,4,64,Normal
ICMP,60,23840.4,20,64,DDOS-Attack
UDP,1233,212.1,7,64,Normal
ICMP,60,1064.3,24,128,DDOS-Attack
ICMP,60,26684.3,22,64,DDOS-Attack
ICMP,60,29171.5,35,64,DDOS-Attack
TCP,162,433.2,2,255,Normal
UDP,347,454.0,7,255,Normal
ICMP,60,25445.6,47,64,DDOS-Attack
ICMP,60,22597.2,28,64,DDOS-Attack
TCP,657,105.3,6,64,Normal
TCP,671,475.7,5,255,Normal
ICMP,60,1561.5,13,128,DDOS-Attack
TCP,847,494.7,6,64,Normal
TCP,1489,229.0,7,255,Normal
TCP,1253,345.7,4,64,Normal
TCP,1068,56.6,6,64,Normal
UDP,1044,257.9,6,128,Normal
TCP,1449,384.0,4,64,Normal
TCP,1335,40.8,5,255,Normal
ICMP,746,18.1,8,64,Normal
ICMP,60,6124.8,42,64,DDOS-Attack
ICMP,1445,213.2,3,64,Normal
TCP,163,159.3,7,128,Normal
TCP,479,383.0,3,64,Normal
TCP,656,284.3,6,64,Normal
UDP,512,4700.5,22,64,DDOS-Attack
ICMP,60,7962.6,18,64,DDOS-Attack
ICMP,60,18202.6,25,64,DDOS-Attack
TCP,285,201.4,5,255,Normal
UDP,499,411.4,3,255,Normal
TCP,820,58.7,7,128,Normal
TCP,1209,349.1,2,128,Normal
TCP,1492,492.1,5,64,Normal
TCP,105,219.0,1,255,Normal
TCP,80,300.1,7,64,Normal
ICMP,60,16633.2,16,128,DDOS-Attack
UDP,87,317.3,7,255,Normal
ICMP,60,5859.1,31,128,DDOS-Attack
UDP,569,50.0,2,255,Normal
UDP,60,17663.3,27,128,DDOS-Attack
TCP,1248,254.7,5,64,Normal
TCP,925,279.3,3,255,Normal
ICMP,60,16361.6,46,128,DDOS-Attack
TCP,1097,165.7,4,255,Normal
TCP,1437,307.9,6,128,Normal
TCP,1371,256.3,2,255,Normal
UDP,536,121.5,1,255,Normal
ICMP,60,9247.6,18,128,DDOS-Attack
UDP,611,388.2,7,128,Normal
UDP,736,47.7,5,128,Normal
ICMP,60,22350.5,45,64,DDOS-Attack
TCP,1367,470.9,4,64,Normal
TCP,145,493.2,1,64,Normal
ICMP,60,10052.7,28,64,DDOS-Attack
TCP,776,444.3,1,128,Normal
TCP,64,15561.3,29,64,DDOS-Attack
UDP,1024,21321.4,45,128,DDOS-Attack
UDP,855,43.8,2,128,Normal
UDP,675,1.3,5,255,Normal
ICMP,60,5876.6,27,128,DDOS-Attack
TCP,830,346.7,7,64,Normal
TCP,456,344.2,5,64,Normal
TCP,64,10714.4,41,128,DDOS-Attack
ICMP,60,7006.2,32,64,DDOS-Attack
ICMP,1450,25.8,6,255,Normal
TCP,345,352.6,2,64,Normal
TCP,1362,361.7,3,128,Normal
UDP,408,10.8,4,255,Normal
TCP,1247,182.9,4,128,Normal
UDP,1017,110.4,8,64,Normal
UDP,1024,24415.2,43,128,DDOS-Attack
ICMP,408,256.4,8,128,Normal
ICMP,60,14184.5,40,64,DDOS-Attack
TCP,1430,481.9,4,255,Normal
ICMP,210,162.1,7,128,Normal
TCP,1060,429.5,6,64,Normal
TCP,1106,388.9,1,128,Normal
ICMP,60,6970.2,45,64,DDOS-Attack
TCP,146,267.9,4,128,Normal
TCP,467,461.1,8,64,Normal
TCP,64,26253.3,35,128,DDOS-Attack
UDP,1024,18795.6,25,128,DDOS-Attack
ICMP,60,1330.7,25,128,DDOS-Attack
ICMP,60,13538.1,17,64,DDOS-Attack
TCP,407,289.0,2,255,Normal
TCP,1204,427.7,2,128,Normal
TCP,1109,377.8,8,128,Normal
TCP,716,353.3,5,64,Normal
UDP,599,52.9,8,64,Normal
UDP,1406,235.4,6,64,Normal
TCP,1172,7.8,8,128,Normal
TCP,900,297.1,3,128,Normal
UDP,60,14436.5,39,128,DDOS-Attack
TCP,840,16.3,3,64,Normal
UDP,1224,254.6,7,64,Normal
UDP,724,451.7,7,255,Normal
UDP,751,343.3,1,255,Normal
UDP,1075,388.6,2,64,Normal
