ip.src,ip.dst,icmp.type,frame.time_delta,frame.len,ip.ttl,protocol,ip.len,label
192.168.78.34,192.168.119.250,,0.965812574,657,128,ARP,660,Normal
192.168.163.200,192.168.251.216,11,0.931229113,1414,32,ICMP,1420,Normal
192.168.118.149,192.168.244.218,,0.581031529,1374,128,ARP,1394,Normal
192.168.17.165,192.168.69.147,,0.592396658,1154,32,TCP,1169,Normal
192.168.251.244,192.168.201.202,,0.238175779,174,64,ARP,188,Normal
192.168.29.4,192.168.44.235,,0.324970055,929,32,ARP,949,Normal
192.168.37.144,192.168.91.158,,0.341457856,1397,128,TCP,1415,Normal
192.168.75.190,192.168.0.243,,0.064952736,1076,64,UDP,1083,Normal
192.168.45.91,192.168.142.38,,0.820311564,728,255,TCP,748,Normal
192.168.185.183,192.168.95.56,,0.146808997,1024,255,TCP,1037,Normal
192.168.230.124,192.168.85.250,,0.877734,928,128,ARP,939,Normal
192.168.70.65,192.168.149.191,11,0.073312494,462,128,ICMP,482,Normal
192.168.11.235,192.168.165.51,8,0.366675756,1140,255,ICMP,1150,Normal
192.168.112.48,192.168.227.70,,0.115585561,1099,32,UDP,1115,Normal
192.168.137.238,192.168.146.254,,0.286120792,1047,64,TCP,1052,Normal
192.168.56.65,192.168.157.247,,0.709436895,1354,128,ARP,1369,Normal
192.168.241.53,192.168.109.167,,0.953515585,1093,255,TCP,1095,Normal
192.168.184.49,192.168.39.12,0,0.78395599,920,32,ICMP,934,Normal
192.168.240.121,192.168.108.7,,0.916901208,422,32,ARP,425,Normal
192.168.112.142,192.168.35.70,,0.141238428,153,64,ARP,163,Normal
192.168.25.215,192.168.244.210,,0.968615858,308,128,ARP,328,Normal
192.168.44.150,192.168.8.54,0,0.529078729,319,64,ICMP,334,Normal
192.168.250.189,192.168.246.163,,0.901557075,1124,64,UDP,1141,Normal
192.168.200.148,192.168.175.170,0,0.778136869,1238,32,ICMP,1247,Normal
192.168.178.151,192.168.151.11,,0.386297797,1426,32,TCP,1440,Normal
192.168.210.35,192.168.239.222,,0.321122727,1248,64,TCP,1253,Normal
192.168.73.244,192.168.221.73,11,0.892109921,506,255,ICMP,510,Normal
192.168.231.229,192.168.97.52,,0.147173499,1381,128,ARP,1388,Normal
192.168.152.13,192.168.190.156,,0.374182884,490,32,TCP,499,Normal
192.168.81.99,192.168.120.113,,0.182341506,759,255,ARP,762,Normal
192.168.74.30,192.168.208.98,,0.7558458,917,128,TCP,919,Normal
192.168.218.76,192.168.83.150,,0.276834348,613,255,TCP,624,Normal
192.168.241.47,192.168.218.132,,0.640513224,1089,32,ARP,1109,Normal
192.168.187.108,192.168.116.171,8,0.043768434,918,255,ICMP,923,Normal
192.168.154.182,192.168.16.106,,0.003642034,895,128,TCP,902,Normal
192.168.158.83,192.168.26.245,8,0.518188575,836,128,ICMP,840,Normal
192.168.30.18,192.168.160.207,11,0.363862991,123,255,ICMP,124,Normal
192.168.39.116,192.168.46.22,,0.543530635,359,32,ARP,370,Normal
192.168.127.209,192.168.145.192,,0.56763176,891,255,ARP,901,Normal
192.168.111.189,192.168.223.96,,0.768455531,1021,255,ARP,1027,Normal
192.168.9.14,192.168.123.244,,0.278494914,1486,64,TCP,1494,Normal
192.168.123.77,192.168.128.179,0,0.713759674,445,64,ICMP,462,Normal
192.168.182.110,192.168.195.53,,0.13265221,889,255,UDP,900,Normal
192.168.217.115,192.168.204.74,,0.106001732,1486,64,UDP,1497,Normal
192.168.241.242,192.168.222.82,,0.498129951,664,64,TCP,673,Normal
192.168.219.133,192.168.228.155,,0.250849129,407,255,ARP,415,Normal
192.168.3.190,192.168.130.209,8,0.167023284,666,32,ICMP,666,Normal
192.168.233.53,192.168.136.7,,0.280704358,318,255,ARP,328,Normal
192.168.219.172,192.168.10.225,,0.371006588,793,32,TCP,797,Normal
192.168.199.140,192.168.197.24,,0.558273321,700,64,ARP,700,Normal
192.168.153.240,192.168.171.34,,0.602273075,537,128,ARP,538,Normal
192.168.72.35,192.168.37.233,0,0.585954119,1405,64,ICMP,1407,Normal
192.168.126.74,192.168.161.94,,0.24889195,823,64,UDP,839,Normal
192.168.248.63,192.168.113.62,,0.138676763,1059,32,UDP,1064,Normal
192.168.113.54,192.168.1.178,,0.18994745,578,64,TCP,582,Normal
192.168.235.244,192.168.210.254,11,0.375171014,418,32,ICMP,423,Normal
192.168.166.128,192.168.190.228,8,0.479493716,778,32,ICMP,786,Normal
192.168.54.64,192.168.116.36,,0.641135673,996,64,UDP,997,Normal
192.168.10.47,192.168.186.36,,0.198684821,526,64,TCP,544,Normal
192.168.45.179,192.168.75.100,,0.264797425,499,255,UDP,501,Normal
192.168.56.214,192.168.80.46,,0.735031766,711,128,UDP,725,Normal
192.168.23.47,192.168.3.194,,0.946256695,927,32,TCP,943,Normal
192.168.215.108,192.168.197.101,,0.624617926,1023,128,UDP,1042,Normal
192.168.245.239,192.168.202.123,,0.109657486,1049,255,TCP,1060,Normal
192.168.2.248,192.168.132.46,8,0.735074788,1365,128,ICMP,1382,Normal
192.168.143.109,192.168.175.172,,0.167498514,1488,255,TCP,1504,Normal
192.168.176.2,192.168.201.147,8,0.040786337,114,255,ICMP,126,Normal
192.168.165.48,192.168.50.85,,0.495409542,1468,128,TCP,1472,Normal
192.168.113.48,192.168.92.241,,0.378933335,810,255,ARP,826,Normal
192.168.142.45,192.168.142.53,,0.366935317,149,64,TCP,162,Normal
192.168.103.102,192.168.161.184,,0.386127038,1448,255,TCP,1463,Normal
192.168.227.176,192.168.140.83,,0.01402498,1420,64,ARP,1422,Normal
192.168.221.169,192.168.109.6,,0.41718661,741,32,TCP,757,Normal
192.168.145.40,192.168.245.198,,0.810291979,999,64,TCP,1016,Normal
192.168.210.203,192.168.19.3,11,0.136324546,153,32,ICMP,160,Normal
192.168.121.193,192.168.243.63,,0.059933391,865,64,TCP,869,Normal
192.168.95.141,192.168.214.10,0,0.462442384,1483,64,ICMP,1494,Normal
192.168.154.31,192.168.211.139,0,0.297901793,210,64,ICMP,224,Normal
192.168.50.211,192.168.68.156,,0.617424209,277,64,UDP,284,Normal
192.168.93.158,192.168.178.82,,0.070673162,1263,255,TCP,1270,Normal
192.168.132.6,192.168.108.211,,0.758202387,1493,255,ARP,1496,Normal
192.168.43.136,192.168.14.57,0,0.622860163,1220,128,ICMP,1240,Normal
192.168.6.32,192.168.110.84,0,0.08615521,861,128,ICMP,870,Normal
192.168.142.208,192.168.42.238,,0.395904415,1270,64,TCP,1284,Normal
192.168.0.151,192.168.118.5,,0.274898688,146,64,UDP,159,Normal
192.168.183.105,192.168.214.238,0,0.344984972,1458,64,ICMP,1471,Normal
192.168.89.202,192.168.174.102,11,0.858878039,918,64,ICMP,932,Normal
192.168.67.91,192.168.232.64,,0.401477805,577,64,UDP,584,Normal
192.168.115.183,192.168.97.187,,0.884422781,436,64,TCP,439,Normal
192.168.110.171,192.168.167.39,,0.668785853,1187,255,UDP,1198,Normal
192.168.10.39,192.168.20.7,,0.137636386,556,255,ARP,569,Normal
192.168.209.252,192.168.164.151,,0.155862845,67,128,TCP,78,Normal
192.168.87.119,192.168.233.215,,0.137821238,1469,32,UDP,1477,Normal
192.168.237.66,192.168.247.103,,0.196788969,887,255,UDP,902,Normal
192.168.210.212,192.168.77.75,,0.698080044,1344,64,UDP,1361,Normal
192.168.217.3,192.168.55.209,8,0.850867165,382,32,ICMP,393,Normal
192.168.228.151,192.168.225.32,,0.143372539,710,128,ARP,726,Normal
192.168.90.51,192.168.23.82,,0.80394307,1015,255,UDP,1024,Normal
192.168.242.97,192.168.54.15,,0.246665763,62,32,UDP,74,Normal
192.168.211.218,192.168.165.55,,0.10868212,476,32,TCP,494,Normal
192.168.8.68,192.168.115.56,,0.346033853,1414,255,ARP,1433,Normal
192.168.2.111,192.168.189.202,,0.890788576,292,32,ARP,297,Normal
192.168.119.92,192.168.103.204,,0.878936476,671,64,UDP,690,Normal
192.168.189.189,192.168.185.56,,0.488525482,1149,128,ARP,1152,Normal
192.168.111.196,192.168.50.87,,0.419391448,1437,32,ARP,1444,Normal
192.168.38.83,192.168.91.115,,0.75545032,1356,64,TCP,1371,Normal
192.168.128.13,192.168.93.118,,0.418978845,1420,32,UDP,1431,Normal
192.168.67.243,192.168.129.34,8,0.803243603,1457,32,ICMP,1461,Normal
192.168.189.104,192.168.189.142,,0.699143472,1172,64,UDP,1180,Normal
192.168.183.117,192.168.130.189,8,0.848355459,646,255,ICMP,666,Normal
192.168.56.238,192.168.51.224,,0.753724894,888,255,TCP,902,Normal
192.168.2.131,192.168.164.95,,0.051313985,440,255,ARP,442,Normal
192.168.248.21,192.168.134.86,11,0.297438403,344,255,ICMP,344,Normal
192.168.147.184,192.168.108.130,,0.311001678,1106,128,TCP,1122,Normal
192.168.80.221,192.168.27.186,0,0.491797979,740,64,ICMP,759,Normal
192.168.194.134,192.168.79.12,,0.611035156,555,32,TCP,570,Normal
192.168.131.254,192.168.200.122,,0.115703618,1488,32,TCP,1502,Normal
192.168.242.126,192.168.124.196,,0.57580597,1484,64,UDP,1503,Normal
192.168.213.47,192.168.190.102,,0.401065261,112,128,TCP,120,Normal
192.168.141.179,192.168.72.146,11,0.292485259,926,255,ICMP,928,Normal
192.168.210.33,192.168.73.190,,0.490469257,1472,128,TCP,1473,Normal
192.168.196.150,192.168.125.234,,0.070940802,167,255,ARP,176,Normal
192.168.0.33,192.168.31.143,0,0.303987435,458,128,ICMP,473,Normal
192.168.121.210,192.168.45.216,,0.518108628,1047,64,TCP,1062,Normal
192.168.45.185,192.168.27.101,,0.45975024,545,64,ARP,559,Normal
192.168.109.165,192.168.75.192,,0.998583083,475,32,ARP,476,Normal
192.168.186.146,192.168.63.237,,0.311201845,1003,64,UDP,1003,Normal
192.168.44.115,192.168.27.145,,0.179293643,925,32,ARP,934,Normal
192.168.31.238,192.168.27.67,,0.353113765,671,255,ARP,675,Normal
192.168.164.243,192.168.39.41,,0.867498833,192,32,TCP,212,Normal
192.168.48.254,192.168.228.217,,0.786589943,1271,128,TCP,1279,Normal
192.168.206.68,192.168.237.23,,0.024658394,265,128,UDP,281,Normal
192.168.41.215,192.168.163.233,,0.145302569,1406,255,TCP,1426,Normal
192.168.15.174,192.168.227.43,,0.292931096,314,64,UDP,330,Normal
192.168.123.22,192.168.164.40,,0.292462307,1202,255,ARP,1215,Normal
192.168.183.62,192.168.179.58,8,0.72569543,458,255,ICMP,472,Normal
192.168.115.27,192.168.71.142,0,0.112233565,1047,64,ICMP,1057,Normal
192.168.53.42,192.168.182.43,,0.329157,959,64,ARP,968,Normal
192.168.130.32,192.168.193.27,,0.636224398,326,32,ARP,334,Normal
192.168.118.31,192.168.154.232,8,0.439491881,869,32,ICMP,874,Normal
192.168.99.6,192.168.12.167,,0.680996807,597,255,ARP,609,Normal
192.168.148.83,192.168.224.114,,0.108727408,837,64,TCP,849,Normal
192.168.91.115,192.168.114.72,,0.937544347,726,64,UDP,744,Normal
192.168.236.192,192.168.117.226,,0.742820611,609,64,UDP,614,Normal
192.168.150.26,192.168.37.10,,0.264681548,907,32,UDP,908,Normal
192.168.84.226,192.168.236.195,8,0.784776212,1271,128,ICMP,1285,Normal
192.168.39.223,192.168.39.40,,0.199774026,1424,255,ARP,1436,Normal
192.168.75.151,192.168.227.207,0,0.015111905,1370,64,ICMP,1378,Normal
192.168.124.112,192.168.121.64,,0.114166397,1404,32,UDP,1423,Normal
192.168.206.183,192.168.98.73,,0.737758262,840,128,ARP,849,Normal
192.168.177.206,192.168.45.184,0,0.396140277,1142,128,ICMP,1161,Normal
192.168.92.67,192.168.69.233,,0.027874084,1311,255,UDP,1311,Normal
192.168.239.151,192.168.170.101,,0.149319981,1202,32,UDP,1202,Normal
192.168.215.59,192.168.153.19,,0.904533572,1082,32,ARP,1090,Normal
192.168.183.100,192.168.1.200,,0.174988233,746,32,UDP,760,Normal
192.168.218.47,192.168.11.222,,0.65973068,150,128,UDP,162,Normal
192.168.140.26,192.168.167.229,,0.622731467,952,128,UDP,963,Normal
192.168.46.97,192.168.55.90,,0.051599434,874,64,TCP,874,Normal
192.168.190.236,192.168.133.31,,0.051520366,1451,255,TCP,1452,Normal
192.168.165.153,192.168.71.200,,0.038641451,1390,32,UDP,1410,Normal
192.168.131.163,192.168.88.254,,0.606274124,1329,128,TCP,1345,Normal
192.168.188.191,192.168.49.26,,0.359123129,1260,255,ARP,1275,Normal
192.168.18.187,192.168.57.221,0,0.62518806,490,32,ICMP,508,Normal
192.168.254.16,192.168.38.220,,0.217759429,1251,128,UDP,1257,Normal
192.168.62.123,192.168.50.77,,0.173095747,682,128,TCP,702,Normal
192.168.37.124,192.168.182.146,,0.833518191,467,32,ARP,478,Normal
192.168.111.100,192.168.245.221,,0.979578671,135,128,UDP,155,Normal
192.168.29.29,192.168.22.85,11,0.329903756,1135,255,ICMP,1136,Normal
192.168.112.59,192.168.116.238,,0.745497173,232,64,UDP,246,Normal
192.168.17.24,192.168.41.78,,0.518009353,1268,64,ARP,1281,Normal
192.168.254.225,192.168.223.88,,0.00281815,704,128,ARP,722,Normal
192.168.237.166,192.168.218.213,,0.289219091,1468,64,ARP,1473,Normal
192.168.20.177,192.168.101.133,,0.936571344,729,255,ARP,746,Normal
192.168.185.198,192.168.230.8,0,0.113616215,273,64,ICMP,282,Normal
192.168.245.181,192.168.246.163,,0.814519048,1147,32,ARP,1166,Normal
192.168.146.248,192.168.179.185,,0.466390679,1045,64,UDP,1064,Normal
192.168.30.77,192.168.38.180,,0.99693514,1178,255,TCP,1183,Normal
192.168.82.171,192.168.223.226,,0.216400901,984,32,UDP,1000,Normal
192.168.183.106,192.168.27.55,,0.269989393,501,32,ARP,517,Normal
192.168.118.131,192.168.210.224,,0.678106329,1003,128,ARP,1012,Normal
192.168.8.101,192.168.201.148,,0.365065498,1239,32,TCP,1242,Normal
192.168.80.235,192.168.49.128,,0.213123145,333,128,TCP,346,Normal
192.168.88.145,192.168.134.62,,0.196624039,1242,255,UDP,1259,Normal
192.168.144.67,192.168.240.219,8,0.988282278,94,255,ICMP,114,Normal
192.168.123.113,192.168.137.113,,0.856470823,1395,128,UDP,1407,Normal
192.168.162.180,192.168.217.18,,0.265413453,1442,128,ARP,1460,Normal
192.168.17.50,192.168.25.176,0,0.355119116,929,255,ICMP,934,Normal
192.168.15.121,192.168.238.55,,0.555904479,152,255,ARP,152,Normal
192.168.151.43,192.168.25.6,,0.973009798,411,32,ARP,421,Normal
192.168.165.145,192.168.162.246,,0.694905885,867,128,UDP,870,Normal
192.168.237.15,192.168.171.75,,0.517727458,98,255,UDP,103,Normal
192.168.121.242,192.168.133.61,0,0.270184092,1107,32,ICMP,1126,Normal
192.168.123.54,192.168.137.242,,0.809136072,1432,255,TCP,1436,Normal
192.168.23.28,192.168.199.55,,0.225128506,1147,255,ARP,1165,Normal
192.168.220.6,192.168.238.3,,0.449150245,869,32,UDP,870,Normal
192.168.181.16,192.168.133.97,,0.279511729,207,255,TCP,209,Normal
192.168.45.225,192.168.181.218,,0.634512862,1244,255,ARP,1245,Normal
192.168.101.119,192.168.81.169,,0.240387456,351,128,UDP,371,Normal
192.168.196.215,192.168.186.132,11,0.282247108,1011,255,ICMP,1013,Normal
192.168.246.117,192.168.36.149,,0.026637931,760,128,ARP,775,Normal
192.168.207.149,192.168.3.211,,0.505684255,263,255,TCP,276,Normal
192.168.187.187,192.168.151.14,,0.63893364,1279,64,TCP,1281,Normal
192.168.141.167,192.168.52.177,,0.833487349,602,64,UDP,617,Normal
192.168.131.50,192.168.115.113,,0.061899914,268,255,TCP,276,Normal
192.168.105.111,192.168.28.178,8,0.367802898,1305,255,ICMP,1321,Normal
192.168.52.194,192.168.111.52,,0.657693231,864,64,UDP,866,Normal
192.168.127.123,192.168.20.212,0,0.129416472,686,255,ICMP,701,Normal
192.168.3.219,192.168.193.26,,0.004002366,518,128,ARP,521,Normal
192.168.86.46,192.168.243.97,,0.329965546,692,64,ARP,694,Normal
192.168.74.224,192.168.232.13,,0.685357386,627,255,ARP,634,Normal
192.168.140.130,192.168.161.97,,0.005184513,133,255,UDP,144,Normal
192.168.244.81,192.168.110.221,,0.943980233,163,32,ARP,166,Normal
192.168.88.242,192.168.105.167,,0.525939153,499,128,ARP,513,Normal
192.168.157.12,192.168.94.44,,0.985449821,638,128,UDP,649,Normal
192.168.77.40,192.168.123.27,,0.32025866,568,128,ARP,570,Normal
192.168.161.228,192.168.76.225,,0.045710226,926,255,ARP,926,Normal
192.168.91.178,192.168.155.86,,0.273234656,247,64,UDP,265,Normal
192.168.186.202,192.168.215.12,,0.196013358,828,128,UDP,839,Normal
192.168.95.90,192.168.131.117,,0.019734991,836,128,TCP,848,Normal
192.168.85.207,192.168.56.185,8,0.094866139,405,255,ICMP,412,Normal
192.168.121.96,192.168.157.167,,0.85237803,879,64,UDP,893,Normal
192.168.232.221,192.168.47.97,,0.705558603,381,32,ARP,389,Normal
192.168.14.143,192.168.149.7,,0.359179585,594,255,UDP,600,Normal
192.168.130.99,192.168.178.170,,0.985133578,385,32,ARP,394,Normal
192.168.225.154,192.168.23.62,,0.536623674,759,32,ARP,767,Normal
192.168.212.75,192.168.160.238,8,0.776037467,283,128,ICMP,298,Normal
192.168.220.122,192.168.168.67,,0.839726809,1070,32,UDP,1088,Normal
192.168.38.49,192.168.119.202,,0.923291654,132,128,ARP,148,Normal
192.168.103.50,192.168.104.150,,0.918289791,251,32,UDP,259,Normal
192.168.57.158,192.168.188.36,,0.528728132,824,255,ARP,838,Normal
192.168.116.203,192.168.77.202,,0.47574899,416,255,ARP,428,Normal
192.168.214.171,192.168.44.133,,0.206360113,1191,255,ARP,1196,Normal
192.168.18.26,192.168.121.10,,0.863782347,1191,64,UDP,1198,Normal
192.168.244.11,192.168.185.178,,0.925988172,207,128,ARP,226,Normal
192.168.107.75,192.168.168.247,11,0.889161742,72,128,ICMP,72,Normal
192.168.23.197,192.168.190.220,,0.369487692,605,32,TCP,617,Normal
192.168.61.239,192.168.45.228,8,0.163268471,587,255,ICMP,594,Normal
192.168.244.200,192.168.206.254,0,0.294222657,699,32,ICMP,711,Normal
192.168.232.214,192.168.82.96,,0.374572629,1298,255,UDP,1317,Normal
192.168.214.38,192.168.19.228,,0.973065788,434,255,UDP,442,Normal
192.168.224.72,192.168.206.140,,0.58800673,1353,255,UDP,1373,Normal
192.168.19.92,192.168.3.15,,0.911629432,1376,64,ARP,1377,Normal
192.168.31.171,192.168.112.7,,0.745896185,1319,255,UDP,1320,Normal
192.168.7.178,192.168.105.190,,0.444530339,505,32,TCP,505,Normal
192.168.168.238,192.168.246.120,,0.872362384,1303,64,TCP,1312,Normal
192.168.34.67,192.168.30.30,,0.522121055,1212,128,ARP,1215,Normal
192.168.117.131,192.168.149.190,,0.235561735,613,128,ARP,627,Normal
192.168.71.214,192.168.15.112,,0.364336614,808,64,TCP,826,Normal
192.168.161.225,192.168.230.6,0,0.820805636,1385,32,ICMP,1397,Normal
192.168.26.189,192.168.73.127,0,0.585765523,1222,32,ICMP,1224,Normal
192.168.179.173,192.168.222.167,,0.157983318,350,32,UDP,363,Normal
192.168.181.1,192.168.152.232,,0.627314914,955,255,TCP,961,Normal
192.168.41.60,192.168.190.208,8,0.102245117,1239,128,ICMP,1243,Normal
192.168.115.25,192.168.138.66,,0.661279995,116,128,ARP,116,Normal
192.168.213.158,192.168.17.123,,0.745723915,1104,128,ARP,1105,Normal
192.168.85.164,192.168.213.221,,0.285420607,1183,128,TCP,1185,Normal
192.168.79.110,192.168.123.166,,0.423447228,467,128,ARP,484,Normal
192.168.176.124,192.168.169.41,,0.132282887,626,32,UDP,631,Normal
192.168.70.62,192.168.13.233,,0.497068514,230,255,UDP,230,Normal
192.168.8.104,192.168.12.200,,0.993530522,72,128,TCP,85,Normal
192.168.125.121,192.168.218.75,,0.383874323,1018,64,TCP,1028,Normal
192.168.28.111,192.168.111.42,,0.067321461,380,64,UDP,388,Normal
192.168.167.188,192.168.110.17,11,0.478960728,1255,128,ICMP,1261,Normal
192.168.208.60,192.168.30.47,,0.649004974,1114,255,UDP,1123,Normal
192.168.8.28,192.168.69.61,,0.585952969,538,255,ARP,540,Normal
192.168.93.141,192.168.229.190,0,0.78497677,884,128,ICMP,889,Normal
192.168.69.105,192.168.197.168,,0.77302658,1298,32,ARP,1305,Normal
192.168.216.91,192.168.227.237,,0.455216062,784,128,TCP,795,Normal
192.168.190.199,192.168.12.200,0,0.259424261,283,64,ICMP,291,Normal
192.168.16.42,192.168.149.20,11,0.86360275,209,64,ICMP,218,Normal
192.168.22.30,192.168.181.148,,0.64837222,780,64,TCP,785,Normal
192.168.186.113,192.168.168.39,,0.928648314,1018,128,TCP,1030,Normal
192.168.5.63,192.168.184.27,,0.538552474,931,128,UDP,935,Normal
192.168.239.150,192.168.9.10,,0.111888776,81,32,ARP,83,Normal
192.168.91.146,192.168.70.23,,0.371931388,156,32,TCP,160,Normal
192.168.88.186,192.168.124.162,,0.63322786,1028,64,UDP,1042,Normal
192.168.116.41,192.168.103.32,,0.967905152,1241,255,UDP,1253,Normal
192.168.105.172,192.168.89.17,,0.851780679,1339,64,TCP,1358,Normal
192.168.159.54,192.168.129.179,,0.664685168,1211,255,TCP,1231,Normal
192.168.47.175,192.168.214.233,,0.671908447,808,128,TCP,824,Normal
192.168.123.144,192.168.217.195,0,0.529387088,1374,128,ICMP,1375,Normal
192.168.43.25,192.168.80.120,,0.369533576,541,128,UDP,559,Normal
192.168.180.35,192.168.87.23,,0.731780405,240,64,TCP,244,Normal
192.168.46.211,192.168.253.214,8,0.454396857,687,64,ICMP,707,Normal
192.168.199.251,192.168.92.84,,0.510862596,73,32,UDP,81,Normal
192.168.51.205,192.168.103.66,,0.570174764,654,64,UDP,671,Normal
192.168.41.36,192.168.134.119,,0.971206743,102,32,UDP,113,Normal
192.168.245.66,192.168.168.30,,0.6189918,61,128,TCP,80,Normal
192.168.163.176,192.168.4.244,11,0.105315116,958,255,ICMP,973,Normal
192.168.141.71,192.168.40.108,,0.993263059,525,128,UDP,526,Normal
192.168.106.145,192.168.170.212,,0.463660656,1197,128,UDP,1207,Normal
192.168.255.33,192.168.118.144,,0.526921995,789,64,UDP,800,Normal
192.168.171.108,192.168.187.144,,0.281183164,157,64,ARP,166,Normal
192.168.7.77,192.168.191.166,0,0.101808396,75,64,ICMP,86,Normal
192.168.30.195,192.168.11.183,,0.93038051,887,64,TCP,890,Normal
192.168.157.65,192.168.228.78,,0.790832883,636,128,ARP,650,Normal
192.168.137.176,192.168.81.26,,0.115326037,1037,64,ARP,1052,Normal
192.168.182.74,192.168.178.182,,0.188389703,199,64,UDP,209,Normal
192.168.227.49,192.168.247.200,8,0.819344941,222,32,ICMP,240,Normal
192.168.182.60,192.168.224.212,0,0.21172117,1105,32,ICMP,1105,Normal
192.168.180.114,192.168.167.216,,0.542776605,188,64,ARP,188,Normal
192.168.59.191,192.168.94.186,8,0.434562188,1408,32,ICMP,1423,Normal
192.168.28.58,192.168.211.174,,0.15236024,121,32,TCP,122,Normal
192.168.71.45,192.168.67.13,,0.206314697,415,32,TCP,421,Normal
192.168.145.144,192.168.39.190,0,0.410581103,185,64,ICMP,185,Normal
192.168.181.122,192.168.60.99,,0.963005166,1291,255,TCP,1293,Normal
192.168.254.215,192.168.179.171,,0.480296614,145,32,UDP,158,Normal
192.168.229.98,192.168.149.236,,0.561462907,711,255,TCP,728,Normal
192.168.31.164,192.168.180.169,0,0.914442844,173,64,ICMP,189,Normal
192.168.174.31,192.168.119.69,8,0.970237528,923,255,ICMP,934,Normal
192.168.70.91,192.168.132.104,,0.714752677,903,32,ARP,914,Normal
192.168.101.206,192.168.163.38,,0.940425164,1435,64,UDP,1451,Normal
192.168.82.32,192.168.198.51,8,0.282454607,1432,32,ICMP,1444,Normal
192.168.7.142,192.168.252.8,11,0.754790741,1001,64,ICMP,1011,Normal
192.168.251.121,192.168.98.58,,0.690224779,942,128,UDP,952,Normal
192.168.105.144,192.168.182.141,0,0.04909466,1080,128,ICMP,1084,Normal
192.168.15.201,192.168.145.4,11,0.172590699,602,64,ICMP,602,Normal
192.168.101.44,192.168.32.64,,0.545198598,387,128,UDP,402,Normal
192.168.30.155,192.168.93.94,,0.702377203,889,255,TCP,902,Normal
192.168.222.170,192.168.249.105,11,0.291244055,637,128,ICMP,649,Normal
192.168.225.2,192.168.187.212,11,0.277220816,845,128,ICMP,859,Normal
192.168.203.131,192.168.76.232,,0.078600399,583,64,TCP,595,Normal
192.168.94.136,192.168.35.64,,0.097801887,1082,255,TCP,1088,Normal
192.168.181.93,192.168.16.20,,0.401617231,513,64,UDP,514,Normal
192.168.117.248,192.168.115.33,,0.892570162,684,128,UDP,689,Normal
192.168.5.128,192.168.110.197,,0.640289735,1279,255,ARP,1285,Normal
192.168.166.48,192.168.186.40,,0.01342584,1318,64,ARP,1325,Normal
192.168.249.115,192.168.178.159,,0.269439092,327,32,TCP,328,Normal
192.168.181.41,192.168.13.7,,0.766066407,764,32,UDP,777,Normal
192.168.138.136,192.168.71.252,,0.330664653,364,255,TCP,370,Normal
192.168.228.46,192.168.73.134,,0.259918934,1201,64,UDP,1211,Normal
