frame.time_delta,frame.len,ip.ttl,ip.len,Protocol,label
0.016932,107,105,107,UDP,Normal
0.014037,96,93,96,TCP,Normal
0.005494,64,76,64,ICMP,Normal
0.016173,105,62,105,TCP,Normal
0.011002,115,122,115,TCP,Normal
0.01196,87,93,87,TCP,Normal
0.008953,75,89,75,UDP,Normal
0.012156,114,95,114,TCP,Normal
0.014286,108,122,108,UDP,Normal
0.019331,88,97,88,UDP,Normal
0.001404,106,54,106,TCP,Normal
0.001297,105,76,105,TCP,Normal
0.019421,78,108,78,TCP,Normal
0.010559,89,102,89,TCP,Normal
0.010898,81,128,81,TCP,Normal
0.015195,92,82,92,UDP,Normal
0.012068,108,84,108,UDP,Normal
0.001172,75,66,75,ICMP,Normal
0.008015,77,62,77,UDP,Normal
0.018732,116,73,116,TCP,Normal
0.014483,93,69,93,UDP,Normal
0.010125,86,120,86,UDP,Normal
0.014599,112,111,112,UDP,Normal
0.016807,96,111,96,ICMP,Normal
0.012076,108,64,108,ICMP,Normal
0.00881,120,64,120,ICMP,Normal
0.019101,93,76,93,ICMP,Normal
0.017105,94,127,94,TCP,Normal
0.01387,119,108,119,TCP,Normal
0.008369,117,87,117,ICMP,Normal
0.011008,89,96,89,ICMP,Normal
0.018589,116,97,116,ICMP,Normal
0.0184,117,124,117,ICMP,Normal
0.008753,77,82,77,TCP,Normal
0.002839,103,75,103,UDP,Normal
0.008299,111,126,111,UDP,Normal
0.019115,71,115,71,TCP,Normal
0.012574,108,61,108,ICMP,Normal
0.010904,96,99,96,UDP,Normal
0.004517,70,62,70,ICMP,Normal
0.016999,62,52,62,UDP,Normal
0.017157,74,72,74,UDP,Normal
0.017034,105,64,105,ICMP,Normal
0.017216,88,52,88,ICMP,Normal
0.006059,84,82,84,ICMP,Normal
0.013408,86,65,86,ICMP,Normal
0.01879,107,52,107,TCP,Normal
0.015389,118,80,118,UDP,Normal
0.013344,115,125,115,UDP,Normal
0.00862,61,117,61,TCP,Normal
0.011016,85,125,85,UDP,Normal
0.012265,97,106,97,UDP,Normal
0.015294,77,107,77,UDP,Normal
0.007252,66,120,66,UDP,Normal
0.007827,104,83,104,ICMP,Normal
0.016752,92,108,92,ICMP,Normal
0.01532,68,59,68,UDP,Normal
0.005204,79,109,79,UDP,Normal
0.002594,70,88,70,ICMP,Normal
0.002179,111,91,111,ICMP,Normal
0.015896,108,59,108,ICMP,Normal
0.018137,110,51,110,UDP,Normal
0.004412,105,77,105,ICMP,Normal
0.004199,77,98,77,UDP,Normal
0.006414,82,112,82,UDP,Normal
0.017032,76,82,76,TCP,Normal
0.007106,99,60,99,TCP,Normal
0.013137,66,88,66,UDP,Normal
0.012986,75,62,75,ICMP,Normal
0.002711,100,113,100,UDP,Normal
0.010673,108,113,108,ICMP,Normal
0.01085,111,53,111,UDP,Normal
0.013368,85,101,85,TCP,Normal
0.019835,93,56,93,TCP,Normal
0.001519,106,52,106,UDP,Normal
0.012624,76,86,76,ICMP,Normal
0.011713,107,104,107,TCP,Normal
0.017965,61,96,61,TCP,Normal
0.001265,70,62,70,UDP,Normal
0.015965,61,94,61,ICMP,Normal
0.010223,88,73,88,ICMP,Normal
0.006823,69,74,69,TCP,Normal
0.013351,78,90,78,TCP,Normal
0.013539,103,119,103,ICMP,Normal
0.005707,104,107,104,UDP,Normal
0.014102,114,128,114,TCP,Normal
0.006234,110,63,110,TCP,Normal
0.005108,113,51,113,UDP,Normal
0.006023,78,117,78,TCP,Normal
0.004135,87,69,87,ICMP,Normal
0.008998,67,104,67,UDP,Normal
0.010524,98,107,98,TCP,Normal
0.017611,78,100,78,TCP,Normal
0.001578,91,89,91,UDP,Normal
0.003059,118,76,118,TCP,Normal
0.017024,115,114,115,ICMP,Normal
0.008046,66,70,66,ICMP,Normal
0.017408,86,117,86,TCP,Normal
0.013344,98,87,98,ICMP,Normal
0.01353,78,111,78,TCP,Normal
0.016006,94,70,94,TCP,Normal
0.009157,110,75,110,TCP,Normal
0.009967,67,63,67,ICMP,Normal
0.017991,71,112,71,ICMP,Normal
0.001878,65,56,65,TCP,Normal
0.018137,66,99,66,TCP,Normal
0.017663,119,74,119,ICMP,Normal
0.011947,89,51,89,TCP,Normal
0.015616,88,67,88,UDP,Normal
0.005293,71,127,71,TCP,Normal
0.015057,89,124,89,ICMP,Normal
0.001819,69,91,69,UDP,Normal
0.013743,98,95,98,TCP,Normal
0.011533,109,113,109,ICMP,Normal
0.01951,86,102,86,UDP,Normal
0.007096,119,127,119,TCP,Normal
0.017247,92,128,92,UDP,Normal
0.014655,71,75,71,UDP,Normal
0.016734,77,122,77,UDP,Normal
0.005525,77,85,77,UDP,Normal
0.008033,78,86,78,UDP,Normal
0.0012,63,51,63,UDP,Normal
0.01874,96,91,96,TCP,Normal
0.013542,97,119,97,UDP,Normal
0.008486,70,104,70,UDP,Normal
0.009873,66,112,66,ICMP,Normal
0.016342,70,93,70,UDP,Normal
0.015849,78,99,78,TCP,Normal
0.002781,118,97,118,ICMP,Normal
0.019544,94,101,94,UDP,Normal
0.006475,72,98,72,TCP,Normal
0.016014,94,103,94,TCP,Normal
0.00349,60,75,60,UDP,Normal
0.010449,94,107,94,ICMP,Normal
0.01341,87,61,87,UDP,Normal
0.00321,93,114,93,UDP,Normal
0.016333,90,86,90,TCP,Normal
0.012553,79,79,79,ICMP,Normal
0.00425,96,112,96,TCP,Normal
0.015054,98,86,98,ICMP,Normal
0.003644,107,54,107,UDP,Normal
0.003443,61,52,61,ICMP,Normal
0.003938,97,95,97,UDP,Normal
0.009656,86,57,86,UDP,Normal
0.012356,70,105,70,TCP,Normal
0.016643,97,124,97,ICMP,Normal
0.003924,71,64,71,UDP,Normal
0.015247,112,81,112,ICMP,Normal
0.005091,68,88,68,ICMP,Normal
0.01806,97,87,97,ICMP,Normal
0.010947,67,59,67,TCP,Normal
0.001709,96,117,96,ICMP,Normal
0.018166,78,127,78,ICMP,Normal
0.009156,64,101,64,TCP,Normal
0.019046,112,93,112,TCP,Normal
0.006727,62,88,62,TCP,Normal
0.013671,88,95,88,TCP,Normal
0.001228,107,93,107,ICMP,Normal
0.016361,68,112,68,UDP,Normal
0.008001,64,90,64,TCP,Normal
0.007711,90,112,90,TCP,Normal
0.007628,108,104,108,TCP,Normal
0.005009,69,108,69,TCP,Normal
0.014761,63,66,63,UDP,Normal
0.009985,65,77,65,TCP,Normal
0.001692,61,51,61,ICMP,Normal
0.01961,95,87,95,UDP,Normal
0.011403,90,107,90,UDP,Normal
0.003684,76,113,76,ICMP,Normal
0.006668,115,124,115,ICMP,Normal
0.010248,89,92,89,TCP,Normal
0.012863,80,97,80,UDP,Normal
0.014681,109,99,109,UDP,Normal
0.010153,96,54,96,ICMP,Normal
0.009927,74,106,74,TCP,Normal
0.014498,111,114,111,TCP,Normal
0.007406,78,109,78,ICMP,Normal
0.006354,99,89,99,UDP,Normal
0.011537,69,110,69,UDP,Normal
0.010047,109,110,109,TCP,Normal
0.003597,74,56,74,ICMP,Normal
0.018758,105,103,105,ICMP,Normal
0.003165,104,81,104,UDP,Normal
0.005681,67,67,67,TCP,Normal
0.010129,100,117,100,ICMP,Normal
0.004489,84,53,84,ICMP,Normal
0.008665,75,84,75,UDP,Normal
0.006276,105,120,105,UDP,Normal
0.019463,71,93,71,ICMP,Normal
0.006338,80,107,80,UDP,Normal
0.004405,103,85,103,UDP,Normal
0.007117,113,77,113,TCP,Normal
0.016588,86,78,86,TCP,Normal
0.016006,107,120,107,TCP,Normal
0.003893,108,66,108,UDP,Normal
0.016893,81,92,81,UDP,Normal
0.002482,82,52,82,TCP,Normal
0.018728,71,75,71,ICMP,Normal
0.018646,95,83,95,TCP,Normal
0.008254,69,110,69,TCP,Normal
0.016754,84,88,84,ICMP,Normal
0.019179,88,117,88,ICMP,Normal
0.002626,93,76,93,TCP,Normal
0.007095,96,64,96,ICMP,Normal
0.015543,78,102,78,TCP,Normal
0.001192,112,116,112,TCP,Normal
0.006916,119,110,119,ICMP,Normal
0.012407,114,124,114,TCP,Normal
0.019938,68,118,68,ICMP,Normal
0.018537,63,84,63,UDP,Normal
0.002318,100,96,100,UDP,Normal
0.003101,113,59,113,ICMP,Normal
0.002813,75,72,75,UDP,Normal
0.013274,67,116,67,TCP,Normal
0.014231,104,57,104,ICMP,Normal
0.004638,112,64,112,ICMP,Normal
0.006223,113,87,113,TCP,Normal
0.01763,91,128,91,ICMP,Normal
0.018521,78,122,78,TCP,Normal
0.014489,115,80,115,ICMP,Normal
0.015593,91,86,91,UDP,Normal
0.014371,76,63,76,UDP,Normal
0.013316,114,71,114,TCP,Normal
0.006811,62,123,62,TCP,Normal
0.011112,111,75,111,ICMP,Normal
0.015107,61,67,61,TCP,Normal
0.003892,85,79,85,TCP,Normal
0.01301,88,107,88,ICMP,Normal
0.019967,65,90,65,TCP,Normal
0.019057,108,76,108,TCP,Normal
0.011008,114,114,114,ICMP,Normal
0.011052,92,111,92,TCP,Normal
0.013311,97,77,97,TCP,Normal
0.008898,117,74,117,UDP,Normal
0.011965,95,71,95,TCP,Normal
0.005351,75,102,75,ICMP,Normal
0.015596,94,63,94,ICMP,Normal
0.00156,76,128,76,UDP,Normal
0.00229,120,108,120,UDP,Normal
0.007507,64,80,64,ICMP,Normal
0.016754,93,115,93,UDP,Normal
0.004188,112,53,112,UDP,Normal
0.017416,83,123,83,ICMP,Normal
0.006117,99,56,99,ICMP,Normal
0.012952,77,127,77,TCP,Normal
0.014618,63,96,63,TCP,Normal
0.002901,105,53,105,UDP,Normal
0.01302,109,123,109,ICMP,Normal
0.011834,118,126,118,TCP,Normal
0.010522,75,65,75,ICMP,Normal
0.011349,112,121,112,TCP,Normal
0.015499,83,95,83,TCP,Normal
0.006405,75,102,75,UDP,Normal
0.013496,77,96,77,ICMP,Normal
0.016249,71,82,71,ICMP,Normal
0.014245,82,102,82,TCP,Normal
0.017112,95,112,95,ICMP,Normal
0.019393,61,109,61,ICMP,Normal
0.012346,116,80,116,TCP,Normal
0.019393,89,121,89,TCP,Normal
0.00336,103,64,103,UDP,Normal
0.014638,60,114,60,ICMP,Normal
0.011002,94,108,94,TCP,Normal
0.009321,69,101,69,TCP,Normal
0.010348,64,72,64,TCP,Normal
0.014019,81,101,81,UDP,Normal
0.014317,103,59,103,UDP,Normal
0.003772,60,120,60,TCP,Normal
0.011121,82,100,82,UDP,Normal
0.006906,118,72,118,ICMP,Normal
0.010224,104,116,104,TCP,Normal
0.010714,77,58,77,UDP,Normal
0.016457,90,116,90,ICMP,Normal
0.002274,77,66,77,ICMP,Normal
0.00824,116,52,116,TCP,Normal
0.003692,104,115,104,TCP,Normal
0.013336,71,123,71,ICMP,Normal
0.001845,72,53,72,TCP,Normal
0.01357,114,57,114,ICMP,Normal
0.019087,73,61,73,ICMP,Normal
0.007014,115,88,115,TCP,Normal
0.00882,85,86,85,TCP,Normal
0.012824,120,83,120,UDP,Normal
0.007269,110,63,110,UDP,Normal
0.003927,116,123,116,TCP,Normal
0.016322,103,56,103,ICMP,Normal
0.012354,109,72,109,UDP,Normal
0.001669,119,124,119,UDP,Normal
0.005609,119,51,119,TCP,Normal
0.018255,92,128,92,TCP,Normal
0.018051,118,82,118,TCP,Normal
0.011318,94,112,94,TCP,Normal
0.008642,64,119,64,ICMP,Normal
0.005935,99,67,99,UDP,Normal
0.002235,116,120,116,TCP,Normal
0.003891,115,122,115,UDP,Normal
0.019718,72,82,72,TCP,Normal
0.010326,67,124,67,TCP,Normal
0.008282,119,64,119,ICMP,Normal
0.016853,110,106,110,UDP,Normal
0.01429,102,101,102,ICMP,Normal
0.001836,84,68,84,TCP,Normal
0.019719,86,123,86,ICMP,Normal
0.018804,68,89,68,TCP,Normal
0.013152,95,73,95,ICMP,Normal
0.007516,102,116,102,ICMP,Normal
0.008206,109,119,109,TCP,Normal
0.011174,104,67,104,UDP,Normal
0.015543,104,116,104,ICMP,Normal
0.013513,99,76,99,UDP,Normal
0.007032,80,75,80,ICMP,Normal
0.006911,108,115,108,TCP,Normal
0.01176,74,116,74,UDP,Normal
0.008877,104,61,104,ICMP,Normal
0.006523,120,63,120,UDP,Normal
0.010887,67,125,67,TCP,Normal
0.017199,79,126,79,UDP,Normal
0.006624,116,87,116,TCP,Normal
0.006236,65,94,65,UDP,Normal
0.005909,83,80,83,TCP,Normal
0.019766,97,109,97,ICMP,Normal
0.013976,92,83,92,TCP,Normal
0.006713,118,92,118,ICMP,Normal
0.012896,74,89,74,ICMP,Normal
0.006523,78,121,78,TCP,Normal
0.018525,107,104,107,TCP,Normal
0.005939,68,127,68,UDP,Normal
0.010264,61,85,61,TCP,Normal
0.015227,83,82,83,ICMP,Normal
0.015737,111,88,111,UDP,Normal
0.015586,70,94,70,UDP,Normal
0.017585,69,68,69,TCP,Normal
0.003668,98,90,98,UDP,Normal
0.006495,65,117,65,TCP,Normal
0.00424,115,60,115,UDP,Normal
0.018324,107,105,107,ICMP,Normal
0.007481,88,53,88,TCP,Normal
0.007208,67,71,67,UDP,Normal
0.009304,94,61,94,ICMP,Normal
0.00127,86,57,86,ICMP,Normal
0.004285,72,69,72,ICMP,Normal
0.008268,101,73,101,UDP,Normal
0.005675,120,90,120,TCP,Normal
0.017369,91,56,91,ICMP,Normal
0.010548,118,74,118,TCP,Normal
0.01552,77,76,77,UDP,Normal
0.014673,82,60,82,ICMP,Normal
0.001248,120,121,120,UDP,Normal
0.019889,95,55,95,UDP,Normal
0.014105,120,53,120,UDP,Normal
0.018146,118,52,118,TCP,Normal
0.016978,76,54,76,ICMP,Normal
0.004003,83,105,83,TCP,Normal
0.018391,100,63,100,ICMP,Normal
0.010227,78,126,78,UDP,Normal
0.004604,101,71,101,UDP,Normal
0.016865,75,59,75,TCP,Normal
0.019221,85,73,85,ICMP,Normal
0.019933,73,101,73,UDP,Normal
0.014274,101,71,101,ICMP,Normal
0.002114,64,100,64,ICMP,Normal
0.005585,111,110,111,ICMP,Normal
0.016667,86,84,86,ICMP,Normal
0.013905,114,110,114,TCP,Normal
0.018992,108,55,108,UDP,Normal
0.013151,77,96,77,TCP,Normal
0.009319,82,75,82,TCP,Normal
0.008924,65,90,65,UDP,Normal
0.002981,64,125,64,TCP,Normal
0.002724,100,100,100,UDP,Normal
0.013997,67,123,67,ICMP,Normal
0.011505,113,83,113,ICMP,Normal
0.016954,75,55,75,UDP,Normal
0.014327,117,115,117,TCP,Normal
0.019911,97,50,97,ICMP,Normal
0.00237,91,72,91,UDP,Normal
0.019547,66,55,66,UDP,Normal
0.005958,78,123,78,ICMP,Normal
0.016106,101,121,101,TCP,Normal
0.013186,79,103,79,ICMP,Normal
0.005595,79,57,79,ICMP,Normal
0.013548,120,58,120,ICMP,Normal
0.018454,95,76,95,UDP,Normal
0.011682,81,92,81,ICMP,Normal
0.006271,60,77,60,TCP,Normal
0.009242,104,120,104,UDP,Normal
0.01078,84,109,84,UDP,Normal
0.001005,62,92,62,ICMP,Normal
0.014524,60,87,60,UDP,Normal
0.007091,119,104,119,ICMP,Normal
0.011968,108,95,108,ICMP,Normal
0.002045,60,79,60,ICMP,Normal
0.012702,104,78,104,ICMP,Normal
0.019853,69,111,69,TCP,Normal
0.009507,99,77,99,TCP,Normal
0.018939,99,128,99,UDP,Normal
0.01507,73,71,73,UDP,Normal
0.008324,96,122,96,UDP,Normal
0.014274,73,86,73,ICMP,Normal
0.001345,97,77,97,UDP,Normal
0.008896,109,84,109,TCP,Normal
0.013985,82,51,82,ICMP,Normal
0.001935,98,87,98,UDP,Normal
0.008811,64,59,64,ICMP,Normal
0.015841,112,74,112,ICMP,Normal
0.01686,63,63,63,ICMP,Normal
0.019163,115,51,115,TCP,Normal
0.012946,98,60,98,TCP,Normal
0.009439,103,86,103,UDP,Normal
0.013188,105,127,105,UDP,Normal
0.009053,110,68,110,TCP,Normal
0.013454,62,62,62,UDP,Normal
0.014739,107,67,107,UDP,Normal
0.00367,69,62,69,ICMP,Normal
0.006086,69,89,69,ICMP,Normal
0.002731,100,90,100,UDP,Normal
0.01688,108,72,108,TCP,Normal
0.017862,91,99,91,TCP,Normal
0.013115,73,51,73,TCP,Normal
0.017592,60,81,60,TCP,Normal
0.013109,115,115,115,TCP,Normal
0.005114,71,82,71,TCP,Normal
0.013621,70,52,70,UDP,Normal
0.007611,60,95,60,ICMP,Normal
0.013144,86,66,86,UDP,Normal
0.002943,109,128,109,ICMP,Normal
0.007471,74,56,74,ICMP,Normal
0.001466,78,77,78,TCP,Normal
0.011454,77,57,77,UDP,Normal
0.006274,88,60,88,UDP,Normal
0.002437,98,60,98,TCP,Normal
0.00486,120,107,120,UDP,Normal
0.011334,62,120,62,ICMP,Normal
0.01162,76,56,76,TCP,Normal
0.00675,61,53,61,UDP,Normal
0.00204,76,121,76,UDP,Normal
0.004849,119,100,119,UDP,Normal
0.01357,73,52,73,UDP,Normal
0.008933,102,127,102,UDP,Normal
0.006912,84,61,84,ICMP,Normal
0.0184,110,104,110,UDP,Normal
0.019033,109,107,109,ICMP,Normal
0.018382,76,78,76,UDP,Normal
0.002051,88,59,88,ICMP,Normal
0.01771,99,98,99,UDP,Normal
0.017772,69,91,69,ICMP,Normal
0.018787,108,61,108,ICMP,Normal
0.018942,81,52,81,TCP,Normal
0.009382,119,116,119,ICMP,Normal
0.015172,77,101,77,TCP,Normal
0.01813,67,98,67,TCP,Normal
0.007022,113,54,113,TCP,Normal
0.005348,63,88,63,TCP,Normal
0.010761,105,118,105,TCP,Normal
0.017045,72,96,72,TCP,Normal
0.017733,85,111,85,TCP,Normal
0.006644,118,92,118,UDP,Normal
0.017094,86,83,86,TCP,Normal
0.013551,84,99,84,UDP,Normal
0.012938,110,96,110,ICMP,Normal
0.001886,62,124,62,ICMP,Normal
0.004771,118,73,118,TCP,Normal
0.009349,73,119,73,ICMP,Normal
0.010509,86,120,86,TCP,Normal
0.011114,102,108,102,ICMP,Normal
0.003722,113,98,113,UDP,Normal
0.004289,92,104,92,TCP,Normal
0.004049,89,99,89,UDP,Normal
0.014415,113,89,113,UDP,Normal
0.005817,116,54,116,ICMP,Normal
0.006366,95,98,95,UDP,Normal
0.005083,62,123,62,UDP,Normal
0.001692,82,64,82,UDP,Normal
0.002771,100,85,100,ICMP,Normal
